haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U4a1a39b2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a3b	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1a40	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a41	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a42	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a43	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a45	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a47	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a47^	0.0				no_ci		2.35		single_child_interpolation		
U4a1a48	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a49	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a5	1.0	7.8917			no_ci	7.8917	0.0		rho_fallback_no_desc	0.0	0.0
U4a1a50	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a51	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a51^	0.0				no_ci		0.0		single_child_interpolation		
U4a1a52	2.0	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
U4a1a53	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a54	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a55	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a57	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a58	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a59	0.0				no_ci		2.35		single_child_interpolation		
U4a1a59a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a6	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a6'13	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a60	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a61	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a63	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a64	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a64^	1.0	2.5854			no_ci		2.35		single_child_interpolation		
U4a1a7	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a7a	0.0				no_ci		0.0		single_child_interpolation		
U4a1a7a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a7b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a7b^	0.0				no_ci		0.0		single_child_interpolation		
U4a1a8	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a8+16519	0.0				no_ci						
U4a1a8_16519						6.4849	4.7001	8.2894	ancestor_only		
U4a1a8a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a8a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a8a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a9	0.0				no_ci		2.35		single_child_interpolation		
U4a1a9a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a_16311						6.4849	4.7001	8.2894	ancestor_only		
U4a1a_195						6.4849	4.7001	8.2894	ancestor_only		
U4a1aa	9.0	4.6279	3.4807	5.7834	low	4.6279	3.4807	5.7834	rho_fallback_no_desc	0.0	0.0
U4a1ac	1.0	2.5854			no_ci		4.4195		single_child_interpolation		
U4a1ac1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1ad	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1ae	0.0				no_ci		0.0		rho_fallback_no_desc		
