sample_id	haplogroup
111-1900-5992	B4b1a4b2
111-1900-6302	B5b2c1a
111-1900-6333	B5a1c1a
111-1900-6678	R11b7
111-1900-6708	U1a1a1a2
111-1900-6760	A15a
111-1900-6920	B4d5^
111-1900-7415	G2a101d"
111-1900-7897	C7a1
111-1900-8672	F1d3a^
111-1900-9112	G2a6
111-1900-9570	N9a10f2
111-1900-9938	M10a1a1a
111-1901-0309	C7a
111-1901-0668	D4h4
111-1901-0859	B6a3
111-1901-1023	F1a2a
111-1901-1122	C7d^
111-1901-1139	B4d1a
111-1901-1146	G1a1e
111-1901-1153	M8a2
111-1901-1191	J1c7a+16092
111-1901-1252	M7b1a1a1c
111-1901-1269	D4e1a3
111-1901-1306	B4d1a'c'f'g
111-1901-1375	A
111-1901-1399	Y1b1
111-1901-1405	B4a4g
111-1901-1474	F3a1d2
111-1901-1528	M8a2
111-1901-1610	R9b1a2b2a
111-1901-1764	N9a3d
111-1901-1832	D4g2a1c
111-1901-1887	M7c1a4a1
111-1901-1900	F2a13a
111-1901-1962	F1a1a43
111-1901-2129	B4c1b4
111-1901-2136	F1c1a1i+709
111-1901-2280	G2a2g1
111-1901-2297	N9a3
111-1901-2389	F3a5a2
111-1901-2433	M11b1a2
111-1901-2440	D4b1b
111-1901-2464	F3a3
111-1901-2549	D5a2a1b
111-1901-2624	D4
111-1901-2631	D5a2a1+16266
111-1901-2662	M7c1b4
111-1901-2716	D5a2a1+16266
111-1901-2761	D4g2b1
111-1901-2846	M12a1a2a
111-1901-2877	M9a1a1a
111-1901-2907	A33
111-1901-3003	F1d3a^
111-1901-3010	F2an+16304"
111-1901-3089	G2a1c^
111-1901-3133	A13a1b
111-1901-3164	D4b2b3^
111-1901-3171	F1d
111-1901-3188	D4x
111-1901-3232	B5b1'3'4'5'7
111-1901-3249	F1a1c3
111-1901-3300	M7c1b
111-1901-3331	Y1b2
111-1901-3355	C4b6
111-1901-3386	D5a2a2
111-1901-3461	M7c1b1
111-1901-3508	B4h1a1
111-1901-3515	D4g
111-1901-3607	D4j3
111-1901-3690	F1a1f
111-1901-3737	B5a2a1a
111-1901-3829	B5a1c1a
111-1901-3843	B5a1
111-1901-3850	M11c
111-1901-3898	C4a1a18
111-1901-3966	F2d5
111-1901-4000	Z3
111-1901-4079	B5a2a1a
111-1901-4109	B4c1b2a1
111-1901-4130	D4a12
111-1901-4192	G2a1d2
111-1901-4253	D5b1h
111-1901-4307	D4e3
111-1901-4437	M10a1a
111-1901-4499	D5a2a1b111"
111-1901-4505	B5a1
111-1901-4543	F1d
111-1901-4604	F1a1g
111-1901-4734	F1a1c2^
111-1901-4802	F2a
111-1901-4840	Z3a1'2'5
111-1901-4857	N9a1
111-1901-4925	C4a2
111-1901-4987	R1a1a1
111-1901-5007	B5b1b2
111-1901-5021	A5c
111-1901-5120	D4ab1
111-1901-5182	B4b1c2e
111-1901-5199	G2a101d"
111-1901-5267	Z3j
111-1901-5328	X2p
111-1901-5359	A14n
111-1901-5380	M7b1a1q1
111-1901-5410	N9a10e2
111-1901-5441	F4a2b
111-1901-5519	M7c1a3h1
111-1901-5557	Z3c
111-1901-5595	F3a5a2
111-1901-5649	F2n'a1
111-1901-5670	M33c1a
111-1901-5687	B5b2c'h
111-1901-5748	D5a2a1b1a
111-1901-5779	D5a2a1b111"
111-1901-5786	D4e1f^
111-1901-5793	G2a4
111-1901-5809	A5b1h'm
111-1901-5830	D4b2b6c
111-1901-5878	M7c1a3
111-1901-5908	F1b1ak"
111-1901-5946	B4b1a2a2
111-1901-5991	N9a16
111-1901-6097	R9b1a3
111-1901-6158	D5b1
111-1901-6226	A15a'e
111-1901-6240	G1a
111-1901-6288	A14n
111-1901-6370	D4e5a1
111-1901-6387	M7c1c2ap"
111-1901-6462	A14n
111-1901-6486	B4c4
111-1901-6509	D4a7^
111-1901-6530	D4b2b2
111-1901-6547	D4b2b10
111-1901-6554	R9b1a1
111-1901-6585	A6
111-1901-6745	G2g
111-1901-6769	A44a
111-1901-6776	M9a1a1c1a5
111-1901-6806	B4d1d+207
111-1901-6844	M9a1a
111-1901-6882	C7e
111-1901-6950	M7b1a1bao"
111-1901-6967	M8a2a1f1
111-1901-6974	M7b1a1c3a
111-1901-7094	D5a3
111-1901-7117	D5b1b
111-1901-7124	C7a
111-1901-7261	D4b2b2
111-1901-7353	M7b1a1bao"
111-1901-7421	N9a10a
111-1901-7445	R11b1b
111-1901-7667	M8a2
111-1901-7704	F1a2a
111-1901-7742	C7e
111-1901-7766	G2a6
111-1901-7797	F3a5a1
111-1901-7858	M10a1f'g'h'i
111-1901-7865	G3a2
111-1901-7971	M7c1b2b3
111-1901-8015	D4w1
111-1901-8046	D4b2b10
111-1901-8107	M109
111-1901-8145	A15a
111-1901-8190	D4e5a
111-1901-8251	F2a'b'g
111-1901-8350	N9a10b^
111-1901-8404	D4b2b18
111-1901-8411	M7c1a3
111-1901-8503	D5a2a1+16266
111-1901-8510	R2h
111-1901-8527	M8a3a
111-1901-8602	G2a1t
111-1901-8619	D5b3
111-1901-8626	G1a1a
111-1901-8633	D4j3
111-1901-8640	F1a3a1a
111-1901-8664	C4a1a22
111-1901-8718	D5b1b2
111-1901-8749	B4c1c
111-1901-8770	B5b2a
111-1901-8848	M7b1a1a3f
111-1901-8855	F1a1a+16108
111-1901-8978	D4a3a1
111-1901-8992	F2h^
111-1901-9043	C7a1c
111-1901-9050	G1a1a'b'c'e
111-1901-9135	F2an"
111-1901-9159	F2k
111-1901-9241	G2b1a5a
111-1901-9272	D5b1
111-1901-9289	A33
111-1901-9296	R9b1a2b2
111-1901-9302	M9a1a1c1a3
111-1901-9357	D5a2a1+16266
111-1901-9418	F1d
111-1901-9500	F2b1
111-1901-9531	D4e3
111-1901-9579	M13a1b
111-1901-9616	B4g1
111-1901-9661	M7b1a1bao"
111-1901-9685	M9a1a
111-1901-9692	D4e3
111-1901-9715	F1a1c4a
111-1901-9739	M7c1c2ap"
111-1901-9777	B4c1c5a
111-1901-9784	N9a3d
111-1901-9814	M7c1c2ap^"
111-1901-9883	B5a1a4
111-1902-0094	D5a2a1b10
111-1902-0124	D4b2b2b
111-1902-0148	A17
111-1902-0193	F2k
111-1902-0278	D4b2b15
111-1902-0322	D4a3b
111-1902-0339	G2a101d"
111-1902-0360	M7b1a1b8
111-1902-0469	M8a2a1f^
111-1902-0513	D5b1h
111-1902-0599	D4j3
111-1902-0643	N9a1d
111-1902-0698	D6a1a
111-1902-0766	F1a1a3
111-1902-0841	F1a1f
111-1902-0865	M8a3a
111-1902-0872	B4a4e
111-1902-0889	D4c2c2a
111-1902-0902	F3b3a
111-1902-1039	B4b1c2e
111-1902-1046	M8a3a3
111-1902-1145	F2e2
111-1902-1176	G2a101d"
111-1902-1190	M7b1a1h5
111-1902-1213	B5b2j
111-1902-1237	D4a1e
111-1902-1275	M8a2i
111-1902-1282	A6
111-1902-1336	M8a2
111-1902-1411	A15c
111-1902-1428	B5b2c'f'g'h'i
111-1902-1459	D4a7b1a1
111-1902-1510	B4a1c5b
111-1902-1565	M61a
111-1902-1626	A
111-1902-1633	F1a1c
111-1902-1657	M8a2a1f
111-1902-1749	D5a2a
111-1902-1923	B4b1a2
111-1902-2005	F1a1c4a
111-1902-2074	D4b2b2a
111-1902-2098	B5b2c'h'i
111-1902-2142	D5a2a2
111-1902-2166	N9a10f
111-1902-2173	M8a2
111-1902-2180	R11b1d1
111-1902-2289	B5a2a1a
111-1902-2388	M11b1a2
111-1902-2395	D5b1
111-1902-2470	M8a2c1
111-1902-2487	B4b1c1d2
111-1902-2517	D4e3
111-1902-2548	A15a'e
111-1902-2609	Y1b
111-1902-2685	D4j33^
111-1902-2838	D4q18"
111-1902-2852	M7c1a4a1
111-1902-2883	B5b7
111-1902-3026	B5a1
111-1902-3132	D4y6
111-1902-3163	D4b2b15b
111-1902-3194	M7c1f2
111-1902-3217	D5c2b
111-1902-3248	M7b1a1x1
111-1902-3293	D5c1a3
111-1902-3422	M7b1a1b
111-1902-3507	G1a1a1a
111-1902-3545	B4g1a
111-1902-3552	M7c1a3a1
111-1902-3644	N9a1
111-1902-3804	G2a4d
111-1902-3866	N9a2'4'5'11
111-1902-3941	B5b1d
111-1902-3958	B5b2e
111-1902-3972	D4b2b6'22
111-1902-3996	D4
111-1902-4023	F1a1d11
111-1902-4030	G2a1
111-1902-4054	A19b
111-1902-4085	D4b2d
111-1902-4139	M10a1a1a
111-1902-4207	D4x
111-1902-4214	D5a2a1+16266
111-1902-4238	B5a2a2
111-1902-4382	B4g2a2
111-1902-4399	B4h1a2
111-1902-4443	D5a2a1+16266
111-1902-4450	R11a3
111-1902-4467	D4b1a2a3
111-1902-4474	D4j3
111-1902-4528	C7a18
111-1902-4542	N9a1a
111-1902-4580	M7c1b2b3
111-1902-4603	A15a'e
111-1902-4634	G2g
111-1902-4672	A
111-1902-4757	D4o2a1a
111-1902-4849	N9a9e
111-1902-4856	M7b1a1a3f
111-1902-4931	A11b^
111-1902-4986	D4b2b2b
111-1902-5006	F1a5b
111-1902-5037	M8a3
111-1902-5068	T1a1
111-1902-5150	D4b1a2a1
111-1902-5167	N9a2
111-1902-5181	M7c1d1
111-1902-5235	M10a1a3
111-1902-5259	D4b2b3^
111-1902-5266	D4t
111-1902-5297	C4a1a1a'b'c
111-1902-5327	D4s'ap
111-1902-5358	F1a1c2^
111-1902-5365	B5b1e1^
111-1902-5419	B4d1a'c'f'g
111-1902-5440	D4b2b+194
111-1902-5457	A5
111-1902-5471	F2i
111-1902-5532	D5b
111-1902-5624	M71a3b
111-1902-5648	D4a7
111-1902-5679	C4a2
111-1902-5686	B4d5^
111-1902-5693	B5a1g2a
111-1902-5785	N9a10h
111-1902-5792	Z4a
111-1902-5846	N9a1
111-1902-5853	N9a1
111-1902-5877	F1
111-1902-5884	B4c1b2c
111-1902-5907	D4a3b2
111-1902-5945	A17h
111-1902-6027	M12a1a2a
111-1902-6058	F1a1a+16108+150
111-1902-6126	B4g1a
111-1902-6133	M9a1a
111-1902-6393	M10a1f'g'h'i
111-1902-6409	F4a1b'c
111-1902-6492	B6a3
111-1902-6508	B5a4d1
111-1902-6546	D5a2a1+16266
111-1902-6553	D4j3
111-1902-6577	A21c
111-1902-6652	F1c1a1
111-1902-6706	G2a2a1
111-1902-6737	U2e1h
111-1902-6751	M7b1a1a2^
111-1902-6775	B6a1c2a^
111-1902-6850	D4c2a'd'e
111-1902-7031	B4b1i2
111-1902-7048	A15a
111-1902-7062	B5b2
111-1902-7079	Z3c
111-1902-7147	N9a3
111-1902-7260	F1a5
111-1902-7284	M7b1a1a1c
111-1902-7291	F1a1a3a
111-1902-7369	D4e1f^
111-1902-7383	D4t2
111-1902-7390	D4j3b2
111-1902-7536	F1e6
111-1902-7543	M9a1a2^
111-1902-7550	D4j18
