Category	Group	Score Component	Time Window	Window Start (Years)	Score
Qinghai-Tibet Plateau Core	Highland	Change Component	18500-19000 Years	18500	-0.34964
Qinghai-Tibet Plateau Core	Highland	Change Component	19000-19500 Years	19000	-0.03857
Qinghai-Tibet Plateau Core	Highland	Change Component	19500-20000 Years	19500	-1.16762
Sichuan Basin	Sichuan Region	Change Component	0-500 Years	0	-2.11832
Sichuan Basin	Sichuan Region	Change Component	500-1000 Years	500	-1.80592
Sichuan Basin	Sichuan Region	Change Component	1000-1500 Years	1000	1.75608
Sichuan Basin	Sichuan Region	Change Component	1500-2000 Years	1500	2.4791
Sichuan Basin	Sichuan Region	Change Component	2000-2500 Years	2000	0.06462
Sichuan Basin	Sichuan Region	Change Component	2500-3000 Years	2500	0.91606
Sichuan Basin	Sichuan Region	Change Component	3000-3500 Years	3000	0.87238
Sichuan Basin	Sichuan Region	Change Component	3500-4000 Years	3500	-1.61738
Sichuan Basin	Sichuan Region	Change Component	4000-4500 Years	4000	-1.30565
Sichuan Basin	Sichuan Region	Change Component	4500-5000 Years	4500	1.68091
Sichuan Basin	Sichuan Region	Change Component	5000-5500 Years	5000	1.25475
Sichuan Basin	Sichuan Region	Change Component	5500-6000 Years	5500	-1.25509
Sichuan Basin	Sichuan Region	Change Component	6000-6500 Years	6000	-2.06261
Sichuan Basin	Sichuan Region	Change Component	6500-7000 Years	6500	2.17174
Sichuan Basin	Sichuan Region	Change Component	7000-7500 Years	7000	1.91604
Sichuan Basin	Sichuan Region	Change Component	7500-8000 Years	7500	-0.79843
Sichuan Basin	Sichuan Region	Change Component	8000-8500 Years	8000	0.87773
Sichuan Basin	Sichuan Region	Change Component	8500-9000 Years	8500	-1.10368
Sichuan Basin	Sichuan Region	Change Component	9000-9500 Years	9000	-1.34396
Sichuan Basin	Sichuan Region	Change Component	9500-10000 Years	9500	1.3462
Sichuan Basin	Sichuan Region	Change Component	10000-10500 Years	10000	2.32237
Sichuan Basin	Sichuan Region	Change Component	10500-11000 Years	10500	1.8455
Sichuan Basin	Sichuan Region	Change Component	11000-11500 Years	11000	-2.35183
