Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.25910	0.16198	0.38469			1.000	Yes	
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.000	An expansion occurs within the window	1.000	Yes	Yes
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	-0.21266	-0.35191	-0.07812	0.000	An expansion occurs within the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-1.28049	-1.77023	-0.81767	1.000	A contraction occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	9.93854	9.77298	10.19223			1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	-0.05810	-0.21921	0.05513	0.175	Net increase over the window	1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Mean Rate of Change	-0.00015	-0.00055	0.00014	0.175	Positive mean rate of change	1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.06253	0.00603	0.19517			1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.495	An expansion occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	-0.00101	-0.23587	0.22892	0.495	An expansion occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	0.895	A contraction occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-0.23060	-0.68589	0.09975	0.895	A contraction occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Mean Log Effective Population Size	10.08833	9.85664	10.41026			1.000	Yes	
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Net Change in Log Effective Population Size	0.23103	-0.00293	0.42986	0.975	Net increase over the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Mean Rate of Change	0.00058	-0.00001	0.00107	0.975	Positive mean rate of change	1.000	Yes	
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Fluctuation Amplitude	0.23103	0.00177	0.40986			1.000	Yes	
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Time of Maximum Expansion	1400.00000	1400.00000	1400.00000	0.985	An expansion occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Maximum Expansion Rate	0.49543	0.00397	0.90858	0.985	An expansion occurs within the window	1.000	Yes	
