Category	Group	Time Window	Window Start (Years)	Feature	Median
Southern Segment	Corridor Segment	1500-2000 Years	1500	Mean Log Effective Population Size	10.61302
Southern Segment	Corridor Segment	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.4487
Southern Segment	Corridor Segment	1500-2000 Years	1500	Mean Rate of Change	0.00112
Southern Segment	Corridor Segment	1500-2000 Years	1500	Fluctuation Amplitude	0.4487
Southern Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Expansion	1600
Southern Segment	Corridor Segment	1500-2000 Years	1500	Maximum Expansion Rate	0.85884
Southern Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Contraction	2000
Southern Segment	Corridor Segment	1500-2000 Years	1500	Maximum Contraction Rate	0.05436
Western Highland	Highland	1500-2000 Years	1500	Mean Log Effective Population Size	9.72006
Western Highland	Highland	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.28882
Western Highland	Highland	1500-2000 Years	1500	Mean Rate of Change	7.2e-4
Western Highland	Highland	1500-2000 Years	1500	Fluctuation Amplitude	0.28882
Western Highland	Highland	1500-2000 Years	1500	Time of Maximum Expansion	2000
Western Highland	Highland	1500-2000 Years	1500	Maximum Expansion Rate	0.65088
Western Highland	Highland	1500-2000 Years	1500	Time of Maximum Contraction	1600
Western Highland	Highland	1500-2000 Years	1500	Maximum Contraction Rate	0.44535
Central Segment	Corridor Segment	2000-2500 Years	2000	Mean Log Effective Population Size	9.71521
Central Segment	Corridor Segment	2000-2500 Years	2000	Net Change in Log Effective Population Size	-0.04146
Central Segment	Corridor Segment	2000-2500 Years	2000	Mean Rate of Change	-1e-4
Central Segment	Corridor Segment	2000-2500 Years	2000	Fluctuation Amplitude	0.07577
Central Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Expansion	2000
Central Segment	Corridor Segment	2000-2500 Years	2000	Maximum Expansion Rate	0.17012
Central Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Contraction	2400
Central Segment	Corridor Segment	2000-2500 Years	2000	Maximum Contraction Rate	-0.02878
North China	Northern Lowland	2000-2500 Years	2000	Mean Log Effective Population Size	11.42196
North China	Northern Lowland	2000-2500 Years	2000	Net Change in Log Effective Population Size	0.10668
North China	Northern Lowland	2000-2500 Years	2000	Mean Rate of Change	2.7e-4
North China	Northern Lowland	2000-2500 Years	2000	Fluctuation Amplitude	0.11531
