Haplogroup,Count
M5a2a,57
M5a2a1,16
M5a2a2,12
M5a2a4,15
M5a3b,10
M5b,28
M5b2b,18
M5b2b1,11
M5b2b1a,10
M5c1,11
M6,42
M60,14
M61,42
M61a,16
M62b,60
M62b1,29
M62b1a,16
M62b1a1,14
M62b2,28
M62b_T204C,59
M65,33
M65a1,22
M65a_C16311T!!,14
M65b,10
M66,12
M68,35
M68a,33
M68a1,25
M68a1a,22
M6a1,33
M6a1a,17
M6a1b,15
M7,3791
M70,11
M71,155
M71_C151T,145
M71a,76
M71a1,54
M71a1a,40
M72,22
M72a,18
M73,42
M73b,18
M74,178
M74a,71
M74b,95
M74b1,31
M74b2,31
M75,28
M76,42
M76a,16
M7a1,80
M7a1a,74
M7a1a1,10
M7a1a7,16
M7a2,17
M7a2a,16
M7a2a3,10
M7a_T16324C,81
M7b,2120
M7b'c,3692
M7b1,2100
M7b1a,2086
M7b1a1,1985
M7b1a1_C16192T,1058
M7b1a1a,463
M7b1a1a1,89
M7b1a1a2,65
M7b1a1a3,275
M7b1a1b,276
M7b1a1c,39
M7b1a1c1,14
M7b1a1d,65
M7b1a1d1,37
M7b1a1e,151
M7b1a1e1,102
M7b1a1e2,31
M7b1a1f,177
M7b1a1g,31
M7b1a1h,110
M7b1a1i,17
M7b1a2a,100
M7b1a2a1,49
M7b1a2a1b,15
M7b1a2a1b1,14
M7b1b,13
M7b2,14
M7b2a,12
M7c,1571
M7c1,1478
M7c1a,460
M7c1a1a,48
M7c1a1a1,25
M7c1a1b,47
M7c1a2,35
M7c1a2a,21
M7c1a2a1,11
M7c1a3,72
M7c1a4,82
M7c1a4a,67
M7c1a5,26
M7c1b,225
M7c1b1,15
M7c1b2,168
M7c1b2a,17
M7c1b2b,148
M7c1c,667
M7c1c1,16
M7c1c2,202
M7c1c3,414
M7c2,83
M7c2a,46
M7c2b,10
M8,4332
M8a,940
M8a1,61
M8a2,531
M8a2_T152C,379
M8a2a,237
M8a2a1,194
M8a2b,82
M8a2c,27
M8a2e,13
M8a3,334
M8a3a,157
M8a3a1,47
M9,1544
M91a,16
M9a,1183
M9a'b,1212
M9a1,1080
M9a1a,786
M9a1a1,624
M9a1a1a,25
M9a1a1b,13
M9a1a1c,527
M9a1a1c1,525
M9a1a1c1a,167
M9a1a1c1b,341
M9a1a1c1b1,335
M9a1a1c1b1a,334
M9a1a1c1b1a1,15
M9a1a1c1b1a2,18
M9a1a1d,12
M9a1a2,65
M9a1a3,30
M9a1b,293
M9a1b1,216
M9a1b1c,39
M9a1b2,13
M9a1b_C150T,45
M9a4a,48
M9a4a1,20
M9a4a2,24
M9a5,13
M9b,22
N,31185
N10a,54
N10b,28
N11a,35
N11a1,25
N11b,15
N1a1a,34
N1a1a1a1,14
N1a1a_T152C!,24
N1a1b,233
N1a3,35
N1a3a,32
N1b1a,61
N1b1a2,16
N21,44
N21_T195C!,43
N22,19
N3,13
N8,22
N9a,1451
N9a1,400
N9a1'3,614
N9a10,268
N9a10_T16311C,140
N9a10a,21
N9a11,19
N9a1a,27
N9a2,121
N9a2'4'5'11,257
N9a2a,47
N9a3,213
N9a4,84
N9a4b,58
N9a4b1,28
N9a5,19
N9a6,54
N9a7,10
N9a8,47
N9a9,107
N9b,39
N9b1,15
P,199
P1,83
P1d,69
P1d1,43
P2,35
P3b,15
P4a,32
P4a1,25
Q1,201
Q1_T16223C,116
Q1a,94
Q1a1,82
Q1a1a,22
Q1c,14
Q1e,12
Q1e1,11
Q2a,19
Q3,31
Q3a,26
Q3a_C61T_G62A,23
R,25004
R0,4757
R0a,100
R0a'b,102
R0a1,27
R0a1a,21
R0a2,45
R0a2'3,51
R0a_60.1T,67
R1,41
R11,301
R11'B6,467
R11a,45
R11b,176
R11b1,81
R11b1a,23
R11b1b,27
R1a,31
R1a1,26
R1a1a,12
R2,87
R22,59
R2_T13500C,75
R2d,13
R30,119
R30a,20
R30a1,19
R30a1b,10
R30b2,13
R30b2a,12
R31,15
R32,30
R5,46
R5a1,11
R5a2,33
R5a2b,19
R6_G16129A!,16
R6a2,10
R7,27
R7a,14
R7a'b,23
R7a1,11
R8a1a,21
R8a1a1,14
R9,6710
R9b,439
R9b1,359
R9b1a1,56
R9b1a1a,55
R9b1a2,63
R9b1a2a,19
R9b1a2b,37
R9b1a3,123
R9b1b,57
R9b2,69
R9c,162
R9c1a,60
R9c1a2,12
R9c1b1,81
R_T16189C!,7637
T,991
T1,270
T1a,250
T1a1,157
T1a1b,25
T1a1b1,12
T1a2,17
T1a_T152C,189
T1b,16
T2,717
T2_T16189C!,41
T2a1,85
T2a1a,46
T2a1b,32
T2a1b1,23
T2a1b1a,20
T2a1b1a1,15
T2b,310
T2b3,83
T2b3_C151T,79
T2b3a,60
T2b3a1,39
T2b4,45
T2b4_T152C,30
T2b5,10
T2b_T152C!,15
T2b_T16362C,10
T2c,108
T2c1_T146C!,82
T2c1a,13
T2c1d2,54
T2c1d2a,53
T2c1d_T152C,65
T2d1b,18
T2e,46
T2e1,14
T2f,37
T2f1,13
T2f1a,12
T2f1a1,10
T2g,23
T2g1a,11
T2h,14
T2i,14
U,2829
U1a1,82
U1a1a,25
U1a1a1,11
U1a1c,49
U1a1c1c,21
U1a1c1c1,18
U1a1c1d,14
U1a2,19
U1b,14
U2,316
U2a1,14
U2a2,12
U2b,67
U2b1,17
U2b2,40
U2c,24
U2c1,20
U2e,187
U2e1,110
U2e1'2'3,184
U2e1a,30
U2e1a1,29
U2e1b,28
U2e1b1,16
U2e1h,26
U2e2,45
U2e2a,44
U2e2a1,42
U2e2a1a,18
U2e2a1d,13
U3,127
U3a,43
U3a1,23
U3b,74
U3b1,20
U3b2,30
U3b2a,15
U3b2a1,13
U3b3,14
U4a,155
U4a1,71
U4a1a,18
U4a2,64
U4a2a,19
U4b,126
U4b1_T146C!_T152C!,24
U4b1a1,24
U4b1a1a,23
U4b1a1a1,19
U4b1a2,10
U4b1a4,15
U4b1b1,21
U4b2,24
U4b3,12
U4c1,18
U4d1,11
U4d2,22
U5,827
U5a1,257
U5a1_T16192C,103
U5a1a1,61
U5a1a1_T152C,17
U5a1a2a,13
U5a1b,71
U5a1b1,51
U5a1b1c,11
U5a1b_T16362C,11
U5a1c,18
U5a1d2,21
U5a1d2b,11
U5a1f1,11
U5a1g,16
U5a2,142
U5a2_C16294T,57
U5a2a,53
U5a2a1,47
U5a2b,55
U5a2b1,24
U5a2c,15
U5b,427
U5b1,191
U5b1_T16189C!,90
U5b1_T16189C!_T16192C!,32
U5b1b,70
U5b1b1,49
U5b1b1_T16192C,39
U5b1b1a,30
U5b1b1a1,11
U5b1b2,20
U5b1c,19
U5b1c2,12
U5b1e,16
U5b1e1,13
U5b1i,41
U5b2,121
U5b2a1a,20
U5b2a1a1,13
U5b2a1a_T16311C,15
U5b2a2,19
U5b2b,48
U5b2b3,10
U5b2b5,14
U5b2c,12
U5b3,114
U5b3a1a,79
U6a,130
U6a1,21
U6a2,12
U6a3,33
U6a5,17
U6a7a1,14
U6a8b,10
U6a_T16189C!,58
U6b,13
U6d,11
U7,198
U7a,140
U7a2,16
U7a3,47
U7a3a,32
U7a3b,14
U7a4,27
U7a4a,19
U7a4a1,15
U7b,51
U8a,34
U8a1a,28
U8a1a1,20
U8a1a1b,10
U8b1a2a,10
U8b1b,16
V,273
V1a,31
V1a1,24
V2,27
V25,15
V3,13
V7,21
V7a,17
V_C16298T!,13
V_C72T!,12
W,302
W1,93
W1_T119C,18
W1a,25
W1b,16
W1b1,12
W1c,13
W3,88
W3a,60
W3a1,53
W3a1b,19
W3b,26
W4,23
W5,26
W5a,18
W5a1,12
W5a1a,10
W6,48
W_C194T,201
X2,236
X2_G225A,206
X2a1,14
X2b,61
X2b4,11
X2b_T226C,59
X2c,41
X2c1,23
X2c2,16
X2d,15
X2d1,11
X2e2a,15
X2i,13
X2p,10
Y1,342
Y1a,152
Y1a1,41
Y1a2,10
Y1a_T16189C!,84
Y1b,131
Y1b1,100
Y1b1a,18
Y2,89
Y2a,27
Y2a1,20
Z,965
Z1,60
Z1a,58
Z1a1,14
Z1a2,15
Z1a2a,14
Z1a3,17
Z3,580
Z3_G709A,245
Z3a,66
Z3a1,18
Z3a1a,13
Z3b,12
Z3c,98
Z3d,136
Z4,267
Z4a,198
Z4a1,66
Z4a1a,45
Z_T152C,963
