core_subtree_id	core_root_node_id	baseml_subtree_id	analysis_tree_file	core_n_tips	analysis_total_n_tips	matched_internal_edges	matched_tip_edges	replaced_core_root_edge	topology_match	merge_status	details
core_subtree_0071	NODE_035027	baseml_subtree_0071	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0071.nwk	26	1996	24	26	true	true	success	core edges replaced
core_subtree_0072	NODE_035052	baseml_subtree_0072	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0072.nwk	4	2000	2	4	true	true	success	core edges replaced
core_subtree_0073	NODE_035055	baseml_subtree_0073	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0073.nwk	395	396	393	395	true	true	success	core edges replaced
core_subtree_0074	NODE_035449	baseml_subtree_0074	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0074.nwk	14	1989	12	14	true	true	success	core edges replaced
core_subtree_0075	NODE_035462	baseml_subtree_0075	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0075.nwk	225	226	223	225	true	true	success	core edges replaced
core_subtree_0076	NODE_035686	baseml_subtree_0076	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0076.nwk	346	347	344	346	true	true	success	core edges replaced
core_subtree_0077	TIP::111-1911-1679	baseml_subtree_0077	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0077.nwk	1	1828	0	1	true	true	success	core edges replaced
core_subtree_0078	TIP::111-1915-3945	baseml_subtree_0078	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0078.nwk	1	1505	0	1	true	true	success	core edges replaced
core_subtree_0079	TIP::111-1917-1123	baseml_subtree_0079	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0079.nwk	1	1976	0	1	true	true	success	core edges replaced
core_subtree_0080	TIP::111-1917-8054	baseml_subtree_0080	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0080.nwk	1	1828	0	1	true	true	success	core edges replaced
core_subtree_0081	TIP::111-1920-8515	baseml_subtree_0081	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0081.nwk	1	1999	0	1	true	true	success	core edges replaced
core_subtree_0082	TIP::111-1929-0015	baseml_subtree_0082	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0082.nwk	1	1968	0	1	true	true	success	core edges replaced
core_subtree_0083	TIP::111-1939-4089	baseml_subtree_0083	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0083.nwk	1	1999	0	1	true	true	success	core edges replaced
core_subtree_0084	TIP::FJ748757	baseml_subtree_0084	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0084.nwk	1	1999	0	1	true	true	success	core edges replaced
core_subtree_0085	TIP::GSRD019735A00_BB0_01	baseml_subtree_0085	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0085.nwk	1	1470	0	1	true	true	success	core edges replaced
core_subtree_0086	TIP::HM852883	baseml_subtree_0086	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0086.nwk	1	1256	0	1	true	true	success	core edges replaced
core_subtree_0087	TIP::HNL068	baseml_subtree_0087	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0087.nwk	1	1968	0	1	true	true	success	core edges replaced
core_subtree_0088	TIP::MT418943	baseml_subtree_0088	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0088.nwk	1	1434	0	1	true	true	success	core edges replaced
