haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A34	12	35.5502	12.8393	60.2252	low	35.5502	12.8393	60.2252	rho_direct	0.0	0.0
A35	4	8.5673	7.2456	9.8992	low	8.5673	7.2456	9.8992	rho_fallback_no_desc	0.0	0.0
A36	6	9.2456	3.2415	15.4649	low	9.2456	3.2415	15.4649	rho_fallback_no_desc	0.0	0.0
A37	4	18.2986	10.1276	26.8019	low	18.2986	10.1276	26.8019	rho_fallback_no_desc	0.0	0.0
A38	3	7.8917	2.6898	13.2593	low	7.8917	2.6898	13.2593	rho_fallback_no_desc	0.0	0.0
A39	3	0.0	0.0	0.0	low	0.0	0.0	0.0	rho_fallback_no_desc	0.0	
A3a	3	7.8917	0.0155	16.1546	low	7.8917	0.0155	16.1546	rho_fallback_no_desc	0.0	0.0
A4	9	18.0612	15.2896	20.8701	low	18.0612	15.2896	20.8701	rho_fallback_no_desc	0.0	0.0
A5	483	21.3944	20.2198	22.5751	high	21.3944	20.2198	22.5751	rho_direct	0.0	0.0
A5a	82	11.4808	9.8614	13.1148	high	11.4808	9.8614	13.1148	rho_direct	0.0	0.0
A5a1	29	12.7004	10.7183	14.7037	low	12.7004	10.7183	14.7037	rho_direct	0.0	0.0
A5a1a	26	10.8209	8.994	12.6667	medium	10.8209	8.994	12.6667	rho_direct	0.0	0.0
A5a1a1	19	6.1969	4.0127	8.411	medium	6.1969	4.0127	8.411	rho_direct	0.0	0.0
A5a1a1a	4	2.5854	-0.9854	6.2437	low	2.5854	0.0	6.2437	rho_fallback_no_desc	0.0	0.0
A5a1a1b	3	4.3344	-0.1585	8.961	low	4.3344	0.0	8.961	rho_fallback_no_desc	0.0	0.0
A5a1a2	4	7.8917	5.7475	10.0635	low	8.0186	7.1052	8.9415	single_child_interpolation	0.12689999999999912	1.6080185511359928
A5a1a2a	2	5.2164	5.2164	5.2164	very_low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
A5a1b	2	5.2164	0.1025	10.5005	very_low	5.2164	0.1025	10.5005	rho_fallback_no_desc	0.0	0.0
A5a2	2	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
A5a3	3	5.2164	5.2164	5.2164	low	7.0331	6.2234	7.8501	single_child_interpolation	1.8167	34.82670040641055
A5a3a	2	2.5854	2.5854	2.5854	very_low	2.5854	2.5854	2.5854	rho_fallback_no_desc	0.0	0.0
A5a4	3	2.5854	-0.3368	5.566	low	2.5854	0.0	5.566	rho_fallback_no_desc	0.0	0.0
A5a5	5	3.108	0.6158	5.642	low	3.108	0.6158	5.642	rho_fallback_no_desc	0.0	0.0
A5a6	3	2.5854	2.5854	2.5854	low	2.5854	2.5854	2.5854	rho_fallback_no_desc	0.0	0.0
A5b	223	21.8918	19.7691	24.0349	low	18.5998	17.0167	20.1959	single_child_interpolation	-3.2920000000000016	15.037593984962413
A5b1	223	15.8051	13.8135	17.8168	high	15.8051	13.8135	17.8168	rho_direct	0.0	0.0
A5b1a	7	10.2191	8.0676	12.3972	low	9.8502	8.1137	11.604	single_child_interpolation	-0.3689	3.6099069389672285
A5b1a1	4	3.8953	2.4139	5.3911	low	3.8953	2.4139	5.3911	rho_fallback_no_desc	0.0	0.0
A5b1b	152	14.4898	11.718	17.3018	high	18.559	6.9067	36.2947	single_child_interpolation	4.0692	28.083203356844127
A5b1b3	5	21.3129	-7.6754	54.7725	low	21.3129	0.0	54.7725	rho_fallback_no_desc	0.0	0.0
A5b1c	26	14.0133	11.0747	16.9976	medium	11.3442	8.6288	14.1063	single_child_interpolation	-2.6690999999999985	19.04690543983215
A5b1c1	24	6.8833	3.4441	10.3959	medium	6.8833	3.4441	10.3959	rho_direct	0.0	0.0
A5c	36	9.6235	4.6447	14.7482	medium	19.3488	10.1099	37.5243	single_child_interpolation	9.7253	101.0578271938484
A5c1	5	17.3033	-12.5999	52.4735	low	17.3033	0.0	52.4735	rho_fallback_no_desc	0.0	0.0
A5f	4	10.6101	8.4315	12.8156	low	10.6101	8.4315	12.8156	rho_fallback_no_desc	0.0	0.0
A5g	3	12.4458	10.6466	14.2625	low	12.4458	10.6466	14.2625	rho_fallback_no_desc	0.0	0.0
A6	120	18.6077	15.5758	21.6838	high	18.6077	15.5758	21.6838	rho_direct	0.0	0.0
A6a	29	9.4801	7.4835	11.4997	medium	9.4801	7.4835	11.4997	rho_direct	0.0	0.0
A6b	16	9.756	4.4154	15.2643	medium	9.756	4.4154	15.2643	rho_direct	0.0	0.0
