haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
R0a1	21216.6	18576.5	23888.5	21.2166	18.5765	23.8885	30	rho_direct	low	ci_exceeds_ancestor
R0a1_T152C!	12555.9	9957.6	15191.8	12.5559	9.9576	15.1918	5	single_child_interpolation	NA	
R0a1a	11870.1	9245.6	14532.7	11.8701	9.2456	14.5327	24	rho_direct	NA	
R0a1a1	6578.5	4622.8	9187.7	6.5785	4.6228	9.1877	4	single_child_interpolation	NA	
R0a1a1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
R0a1a2	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
R0a1a3	5216.4	102.5	10500.5	5.2164	0.1025	10.5005	2	rho_fallback_no_desc	NA	
R0a1a4	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	NA	
R0a1b	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
R0a2	12648.8	10986.8	14325.8	12.6488	10.9868	14.3258	50	rho_direct	NA	
R0a2'3	15215.8	13592.3	16852.8	15.2158	13.5923	16.8528	53	rho_direct	NA	
R0a2_T195C!	13707.4	8848.0	18748.2	13.7074	8.8480	18.7482	2	single_child_interpolation	low	ci_exceeds_ancestor
R0a2a	7183.6	5510.5	8874.1	7.1836	5.5105	8.8741	6	single_child_interpolation	NA	
R0a2a1	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
R0a2b	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
R0a2c	7891.7	5747.5	10063.5	7.8917	5.7475	10.0635	4	rho_fallback_no_desc	NA	
R0a2d	10154.1	6965.1	13401.5	10.1541	6.9651	13.4015	6	rho_fallback_no_desc	NA	
R0a2e	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
R0a2f	8601.6	7125.9	10090.1	8.6016	7.1259	10.0901	6	single_child_interpolation	NA	
R0a2f1	4554.4	3265.1	5854.4	4.5544	3.2651	5.8544	4	rho_fallback_no_desc	NA	
R0a2f1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
R0a2f1b	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
R0a2g	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	NA	
R0a2h	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
