ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
111-1914-0020	YES	0.9626	23	112	Han	Zhaoqing	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0075	YES	0.967	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0082	YES	0.9647	32	119	Han	Yangzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0099	YES	0.9503	36	112	Han	Linfen	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0105	YES	0.7754	27	104	Han	Zhaotong	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0129	YES	0.9738	38	114	Han	Yangquan	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0136	YES	0.9677	32	121	Han	Nantong	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0150	YES	0.9096	29	31	Han		Overseas	Egypt	Sinitic	Africa	WHOLE	LLT_20K
111-1914-0174	YES	0.9334	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0181	YES	0.8756	41	112	Han	Huhehaote	InnerMongolia	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0198	YES	0.9009	34	109	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0204	YES	0.9065	34	115	Han	Zhoukou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_20K
