tip_name	owner_core_subtree_id	appearing_baseml_subtree_ids	roles
111-1931-3264	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3288	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-3301	core_subtree_0050	"[""baseml_subtree_0050""]"	"[""core""]"
111-1931-3318	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-3325	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-3400	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-3509	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3516	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-3561	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-3585	core_subtree_0021	"[""baseml_subtree_0021""]"	"[""core""]"
111-1931-3615	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3639	core_subtree_0053	"[""baseml_subtree_0053""]"	"[""core""]"
111-1931-3677	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3684	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-3707	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3745	core_subtree_0033	"[""baseml_subtree_0033""]"	"[""core""]"
111-1931-3776	core_subtree_0049	"[""baseml_subtree_0045"", ""baseml_subtree_0049"", ""baseml_subtree_0088""]"	"[""anchor"", ""core"", ""anchor""]"
111-1931-3806	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3868	core_subtree_0057	"[""baseml_subtree_0057""]"	"[""core""]"
111-1931-3882	core_subtree_0021	"[""baseml_subtree_0021""]"	"[""core""]"
