baseml_subtree_id	tip_name	tip_role	source_core_subtree_id	source_node_id
baseml_subtree_0001	JQ703251	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702223	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705039	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703270	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EU568371	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ940865	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY399166	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ315686	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324587	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409565	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410143	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OM194238	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00576	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409833	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409290	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409344	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ348151	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646119	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646132	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ348166	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153052	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621730	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP01162	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702335	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703403	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324893	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324894	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704587	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704230	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703148	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704588	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703668	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153634	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704465	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153093	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM852855	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF162969	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705157	core	core_subtree_0001	NODE_000038
