# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M7c1b2b8	2.59  (0.00 , 5.57 )	3.49 (0.00, 8.83)
M7c1b2c	1.29  (0.00 , 3.84 )	1.62 (0.00, 8.62)
M7c1b3	12.75  (4.77 , 21.09 )	12.45 (6.54, 18.56)
M7c1b3a	7.12  (2.99 , 11.36 )	7.36 (2.73, 12.12)
M7c1b3a1	3.24  (0.40 , 6.14 )	3.78 (0.57, 7.06)
M7c1b4	5.22  (0.87 , 9.69 )	8.00 (0.05, 16.35)
M7c1b5	4.16  (1.26 , 7.11 )	7.71 (0.75, 14.97)
M7c1c	10.67  (6.66 , 14.77 )	14.21 (7.78, 20.85)
M7c1c1	6.00  (2.18 , 9.92 )	5.85 (3.04, 8.71)
M7c1c1a	4.27  (0.00 , 9.00 )	4.52 (1.63, 7.47)
M7c1c1a1	1.50  (0.39 , 2.63 )	2.98 (0.44, 5.56)
M7c1c2	6.63  (4.53 , 8.76 )	7.83 (5.21, 10.49)
M7c1c2a	7.12  (3.26 , 11.07 )	6.83 (4.01, 9.71)
M7c1c2a1	0.86  (0.00 , 2.55 )	1.85 (0.00, 5.54)
M7c1c2b	3.26  (2.07 , 4.45 )	5.38 (0.49, 10.44)
M7c1c2b1	2.77  (1.59 , 3.96 )	4.35 (2.12, 6.61)
M7c1c2c	6.85  (3.83 , 9.92 )	6.43 (3.05, 9.88)
M7c1c2c1	4.33  (0.00 , 9.59 )	2.92 (0.00, 6.87)
M7c1c2c2	1.55  (0.00 , 3.31 )	3.04 (0.00, 7.44)
M7c1c2d	3.90  (0.29 , 7.58 )	4.29 (0.00, 9.31)
M7c1c2d1	2.59  (0.00 , 6.24 )	2.30 (0.00, 6.46)
M7c1c2e	1.72  (0.34 , 3.11 )	4.46 (0.25, 8.79)
M7c1c2f	3.90  (0.77 , 7.09 )	4.01 (0.00, 8.90)
M7c1c2g	7.22  (1.88 , 12.73 )	6.25 (2.32, 10.28)
M7c1c2h	3.71  (0.00 , 7.79 )	4.06 (0.00, 8.50)
M7c1c2h1	1.55  (0.00 , 3.31 )	1.96 (0.00, 4.41)
M7c1c2i	5.88  (0.91 , 11.02 )	5.21 (1.09, 9.45)
M7c1c3	6.15  (4.96 , 7.34 )	7.59 (5.88, 9.32)
M7c1c3a	13.37  (4.67 , 22.49 )	6.19 (3.94, 8.48)
M7c1c3a1	8.34  (1.92 , 15.02 )	4.35 (1.79, 6.95)
M7c1c3b	7.44  (3.66 , 11.32 )	6.43 (3.94, 8.95)
M7c1c3c	5.22  (0.00 , 10.79 )	4.41 (0.96, 7.93)
M7c1c3d	2.59  (0.00 , 6.44 )	1.90 (0.00, 11.36)
M7c1c3e	2.59  (0.00 , 5.57 )	3.26 (0.00, 7.22)
M7c1c3f	3.24  (0.00 , 7.94 )	1.90 (0.00, 4.58)
M7c1c3g	1.93  (0.00 , 4.16 )	2.41 (0.00, 5.89)
M7c1c3h	3.24  (0.00 , 8.03 )	4.01 (0.00, 9.59)
M7c1c3i	0.47  (0.00 , 1.12 )	5.79 (0.00, 17.75)
M7c1c3j	9.70  (2.51 , 17.19 )	6.25 (1.77, 10.86)
M7c1c3k	3.90  (0.00 , 8.42 )	7.47 (0.00, 16.64)
M7c1c3l	3.33  (0.92 , 5.79 )	4.24 (0.25, 8.33)
M7c1c3l1	1.29  (0.00 , 3.09 )	1.79 (0.00, 4.47)
M7c1c3m	6.10  (1.56 , 10.78 )	5.73 (2.37, 9.17)
M7c1c3n	9.70  (2.02 , 17.73 )	6.08 (1.27, 11.03)
M7c1c3o	4.81  (1.37 , 8.33 )	4.29 (0.52, 8.16)
M7c1c4	10.02  (5.67 , 14.49 )	9.12 (5.35, 12.98)
M7c1c4a	13.37  (4.05 , 23.17 )	7.71 (3.86, 11.65)
M7c1c4a1	5.22  (0.78 , 9.78 )	3.44 (0.45, 6.48)
M7c1d	15.98  (8.19 , 24.10 )	16.71 (8.92, 24.81)
M7c1d1	6.40  (2.95 , 9.93 )	7.42 (3.01, 11.94)
