# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M7c1d2	5.66  (0.00 , 12.11 )	4.58 (0.00, 9.37)
M7c1d2a	1.03  (0.00 , 2.47 )	1.45 (0.00, 4.24)
M7c1e	8.38  (4.12 , 12.75 )	7.71 (4.87, 10.60)
M7c1e1	8.94  (3.41 , 14.66 )	6.95 (4.35, 9.60)
M7c1e1a	6.43  (0.00 , 13.42 )	5.33 (1.97, 8.75)
M7c1e1a1	1.55  (0.31 , 2.79 )	2.75 (0.11, 5.44)
M7c1e1b	1.29  (0.00 , 3.84 )	1.40 (0.00, 4.18)
M7c1e2	3.46  (0.07 , 6.92 )	4.12 (0.00, 8.56)
M7c1f	7.35  (4.00 , 10.77 )	9.24 (5.12, 13.45)
M7c1f1	2.59  (0.79 , 4.40 )	4.12 (0.68, 7.64)
M7c1f2	2.21  (0.17 , 4.29 )	2.64 (0.00, 5.78)
M7c1f3	2.59  (0.00 , 6.24 )	2.92 (0.00, 8.59)
M7c1g	7.89  (2.15 , 13.84 )	10.30 (0.47, 20.71)
M7c2	7.45  (3.59 , 11.40 )	9.12 (3.77, 14.64)
M7c2a	4.76  (2.56 , 6.99 )	7.01 (3.84, 10.24)
M7c2a1	0.73  (0.01 , 1.46 )	2.47 (0.00, 5.27)
M7c2a2	5.88  (0.91 , 11.02 )	5.15 (1.36, 9.04)
M7c2a2a	3.46  (0.07 , 6.92 )	3.26 (0.00, 6.65)
M7c2a3	3.90  (0.00 , 8.42 )	3.32 (0.00, 7.16)
M7c2a4	4.89  (1.20 , 8.66 )	4.92 (0.92, 9.03)
M7c2b	4.92  (1.74 , 8.17 )	5.21 (1.31, 9.21)
M7c2b1	3.24  (0.00 , 6.67 )	3.09 (0.00, 7.50)
M7c2d	4.04  (1.38 , 6.75 )	4.64 (0.42, 8.97)
M7c2d1	4.33  (0.53 , 8.24 )	3.38 (0.00, 6.99)
M7c3	16.17  (8.66 , 23.97 )	16.89 (6.46, 27.89)
M7c3a	13.37  (5.14 , 21.98 )	12.45 (4.28, 21.00)
M7c3a1	2.59  (0.00 , 5.75 )	2.36 (0.00, 5.38)
M7c3a2	5.22  (0.10 , 10.50 )	5.15 (0.00, 11.48)
M7c3b	1.93  (0.00 , 4.81 )	2.02 (0.00, 5.37)
M8	40.79  (30.73 , 51.18 )	43.24 (23.26, 64.53)
CZ	43.36  (31.03 , 56.17 )	43.24 (24.28, 63.38)
Z	20.35  (15.45 , 25.36 )	20.40 (14.89, 26.06)
Z1	20.07  (8.40 , 32.40 )	17.91 (11.07, 24.98)
Z1a	8.97  (4.69 , 13.35 )	9.69 (4.07, 15.49)
Z1a1	7.06  (1.99 , 12.29 )	7.86 (3.02, 12.85)
Z1a1a	2.06  (1.07 , 3.07 )	4.22 (1.68, 6.80)
Z1a1b	4.69  (0.53 , 8.95 )	5.79 (0.00, 13.19)
Z1a1b1	1.10  (0.00 , 2.36 )	2.82 (0.00, 7.76)
Z1a1c	1.93  (0.00 , 4.16 )	3.23 (0.00, 7.87)
Z1a2	10.19  (2.14 , 18.62 )	7.86 (1.20, 14.80)
Z1a2a	7.67  (0.82 , 14.81 )	5.37 (0.00, 13.83)
Z1a3	2.44  (0.24 , 4.67 )	4.59 (0.00, 14.73)
Z1a3b	1.72  (0.00 , 4.13 )	1.84 (0.00, 12.46)
Z1a4	4.89  (1.20 , 8.66 )	5.43 (0.75, 10.24)
Z2	14.10  (7.72 , 20.70 )	17.23 (11.27, 23.37)
Z2a	16.49  (8.34 , 24.98 )	15.06 (8.84, 21.47)
Z2a1	1.93  (0.00 , 4.16 )	1.94 (0.00, 4.58)
Z2a2	9.52  (3.41 , 15.85 )	9.37 (3.25, 15.70)
Z2a2a	5.22  (0.00 , 10.79 )	4.38 (0.00, 13.64)
Z2b	5.22  (0.59 , 9.98 )	8.35 (0.66, 16.39)
Z2b1	2.11  (0.58 , 3.66 )	3.44 (0.00, 7.25)
Z3	18.00  (14.00 , 22.07 )	15.83 (12.48, 19.25)
Z3a	21.68  (14.12 , 29.50 )	15.22 (11.87, 18.63)
Z3a1	18.78  (11.43 , 26.39 )	13.78 (9.93, 17.71)
Z3a1a'b'c	14.89  (9.10 , 20.86 )	12.63 (6.39, 19.07)
Z3a1a	11.12  (4.86 , 17.61 )	10.55 (4.19, 17.15)
Z3a1a1	10.36  (3.69 , 17.30 )	8.99 (3.09, 15.10)
Z3a1a1a	7.35  (2.43 , 12.43 )	6.69 (0.58, 13.04)
Z3a1a1a1	5.55  (2.46 , 8.70 )	5.22 (1.05, 9.49)
Z3a1a1a1a	3.46  (0.07 , 6.92 )	3.23 (0.00, 7.77)
Z3a1a2	4.16  (0.00 , 8.60 )	5.48 (0.00, 12.53)
Z3a1b	9.70  (4.51 , 15.04 )	8.61 (2.93, 14.49)
Z3a1b1	1.03  (0.00 , 2.47 )	1.33 (0.00, 3.96)
Z3a1b2	3.46  (0.07 , 6.92 )	3.18 (0.00, 7.19)
Z3a1c	5.22  (1.65 , 8.86 )	5.90 (0.00, 13.73)
Z3a1d	21.89  (10.02 , 34.43 )	11.53 (7.10, 16.08)
Z3a1d1	7.89  (2.69 , 13.26 )	4.95 (1.30, 8.70)
Z3a2	12.51  (5.68 , 19.60 )	11.70 (5.70, 17.89)
Z3a2a	7.00  (4.23 , 9.81 )	7.44 (4.13, 10.81)
Z3a2a1	3.90  (0.39 , 7.48 )	4.33 (0.00, 11.01)
Z3a2a2	3.90  (0.29 , 7.58 )	4.17 (0.00, 8.52)
Z3a2a3	4.33  (0.34 , 8.43 )	4.85 (0.59, 9.22)
Z3a2a3a	2.59  (0.00 , 5.57 )	2.61 (0.00, 6.71)
Z3a2b	10.06  (3.03 , 17.39 )	9.37 (0.13, 19.12)
Z3b	5.22  (0.52 , 10.05 )	6.80 (0.00, 20.96)
Z3c'd	11.75  (6.78 , 16.86 )	12.85 (4.65, 21.42)
Z3c	10.56  (4.41 , 16.94 )	10.66 (2.97, 18.70)
Z3c1	7.84  (4.29 , 11.47 )	8.18 (5.38, 11.04)
Z3c1a	6.23  (2.54 , 10.00 )	7.01 (4.02, 10.06)
Z3c1a1	3.14  (1.79 , 4.49 )	4.17 (1.83, 6.54)
Z3c1a2	5.22  (0.39 , 10.19 )	5.27 (1.00, 9.65)
Z3c1b	5.22  (0.39 , 10.19 )	3.96 (0.00, 9.26)
Z3d	8.09  (4.87 , 11.37 )	8.02 (5.01, 11.09)
Z3d1	2.59  (0.51 , 4.69 )	4.48 (0.44, 8.63)
Z3d2	3.24  (0.40 , 6.14 )	4.85 (0.00, 9.86)
Z3d3	5.28  (0.92 , 9.77 )	5.06 (1.30, 8.91)
Z3d3a	2.99  (1.69 , 4.31 )	3.86 (1.33, 6.43)
Z3d4	7.22  (1.88 , 12.73 )	4.53 (1.19, 7.95)
Z3d4a	6.10  (1.56 , 10.78 )	3.70 (0.57, 6.89)
Z3d5	5.60  (1.70 , 9.58 )	4.90 (1.85, 8.01)
Z3d5a	3.75  (1.41 , 6.13 )	3.65 (0.92, 6.42)
Z3d6	4.33  (0.00 , 8.96 )	3.28 (0.00, 7.20)
Z3d7	5.22  (1.03 , 9.52 )	4.59 (0.84, 8.43)
Z3e	18.71  (12.38 , 25.24 )	14.00 (10.46, 17.61)
Z3e1	18.20  (9.32 , 27.47 )	12.02 (7.06, 17.13)
Z3e1a	16.17  (7.65 , 25.08 )	10.99 (6.05, 16.06)
Z3e1a1	7.89  (4.02 , 11.86 )	7.22 (2.20, 12.41)
Z3e1a1a	7.00  (1.04 , 13.18 )	4.17 (0.13, 8.31)
Z3e1a2	6.28  (2.70 , 9.95 )	7.17 (2.35, 12.14)
Z3e1b	5.22  (0.00 , 10.79 )	4.38 (0.00, 10.43)
Z3e2	6.86  (3.24 , 10.56 )	7.65 (3.12, 12.31)
Z3e2a	3.46  (0.77 , 6.19 )	4.48 (0.24, 8.84)
Z3e2b	7.00  (1.04 , 13.18 )	5.79 (0.00, 12.33)
Z3e3	7.22  (1.30 , 13.36 )	9.31 (2.49, 16.41)
Z3e4	9.93  (3.37 , 16.74 )	10.77 (4.71, 17.05)
Z3e4a	7.89  (1.66 , 14.36 )	8.13 (1.86, 14.64)
Z3f	16.59  (8.65 , 24.85 )	12.02 (4.37, 20.01)
Z3f1	14.72  (7.98 , 21.70 )	11.04 (6.21, 16.01)
Z3f1a	7.89  (1.95 , 14.05 )	7.01 (2.39, 11.76)
Z3f1a1	2.59  (0.97 , 4.22 )	3.60 (0.37, 6.89)
Z3f1a2	5.22  (1.58 , 8.94 )	5.06 (0.40, 9.86)
Z3f1b	9.59  (3.27 , 16.14 )	8.24 (2.57, 14.10)
Z3f1b1	1.55  (0.00 , 3.31 )	2.40 (0.00, 5.67)
Z3f1b2	5.22  (0.10 , 10.50 )	4.48 (0.00, 9.48)
Z3f1c	7.89  (1.21 , 14.85 )	8.29 (2.42, 14.37)
Z3f2	3.90  (0.00 , 8.42 )	5.79 (0.00, 18.65)
Z3g	12.08  (5.89 , 18.47 )	12.68 (2.35, 23.62)
Z3g1	8.86  (5.08 , 12.72 )	10.83 (4.56, 17.32)
Z3g1a	3.46  (1.05 , 5.90 )	4.17 (0.73, 7.68)
Z3g1b	5.22  (0.43 , 10.15 )	7.76 (0.30, 15.56)
Z3g1c	9.25  (2.34 , 16.43 )	6.53 (0.73, 12.56)
Z3h	7.89  (1.54 , 14.49 )	8.24 (1.16, 15.63)
Z3i	5.75  (2.32 , 9.25 )	7.22 (0.49, 14.24)
Z3j	2.59  (0.00 , 6.44 )	3.08 (0.00, 8.87)
Z3l	13.37  (7.18 , 19.77 )	11.92 (4.27, 19.89)
Z3l1	4.33  (0.00 , 8.96 )	5.48 (0.00, 12.11)
Z3l2	3.90  (0.00 , 8.42 )	3.23 (0.00, 8.82)
Z3m	1.93  (0.00 , 4.16 )	3.75 (0.00, 9.04)
Z4	13.46  (7.84 , 19.25 )	9.53 (4.43, 14.78)
Z4a	11.34  (8.55 , 14.18 )	8.77 (6.79, 10.78)
Z4a1	15.13  (9.61 , 20.81 )	8.24 (5.33, 11.20)
Z4a1a	10.46  (7.37 , 13.60 )	7.81 (4.91, 10.76)
Z4a1a1	11.99  (4.86 , 19.40 )	6.38 (2.58, 10.26)
Z4a1a1a	5.22  (0.39 , 10.19 )	2.97 (0.00, 7.19)
Z4a1a1b	2.59  (0.00 , 5.57 )	2.40 (0.00, 7.44)
Z4a1a2	7.89  (2.09 , 13.90 )	6.48 (2.79, 10.26)
Z4a1a3	8.43  (3.99 , 12.99 )	6.69 (3.40, 10.05)
Z4a1a4	3.90  (0.29 , 7.58 )	4.01 (0.00, 8.57)
Z4a1b	16.17  (6.87 , 25.93 )	7.76 (3.73, 11.88)
Z4a1b1	10.61  (4.56 , 16.87 )	6.64 (2.64, 10.74)
Z4a1b1a	8.47  (3.53 , 13.55 )	5.90 (0.81, 11.15)
Z4a1b1a1	1.93  (0.00 , 4.81 )	2.04 (0.00, 5.82)
Z4a1b1a2'3'4	7.35  (3.53 , 11.27 )	5.27 (1.50, 9.12)
Z4a1b1a3	1.72  (0.00 , 4.13 )	1.58 (0.00, 4.42)
Z4a1b1a4	5.22  (0.10 , 10.50 )	2.30 (0.00, 4.85)
Z4a2	10.72  (7.00 , 14.51 )	8.18 (6.10, 10.29)
Z4a2a	2.59  (0.00 , 5.75 )	2.46 (0.00, 6.35)
Z4a2b	7.55  (3.29 , 11.93 )	7.01 (3.82, 10.27)
Z4a2c	11.53  (4.37 , 18.98 )	6.48 (2.89, 10.15)
Z4a2c1	7.22  (1.03 , 13.65 )	4.33 (0.98, 7.74)
Z4a2c1a	2.59  (0.00 , 5.57 )	1.94 (0.00, 4.48)
Z4a2c2	3.90  (0.00 , 8.42 )	3.13 (0.00, 8.50)
Z4a2d	3.90  (0.00 , 8.42 )	3.70 (0.00, 9.83)
Z4a3	9.93  (5.08 , 14.91 )	7.76 (3.93, 11.67)
Z4a3a	7.89  (2.69 , 13.26 )	6.32 (2.33, 10.42)
Z4a3b	6.10  (0.96 , 11.42 )	5.74 (1.06, 10.56)
Z4a4	4.77  (1.93 , 7.67 )	5.32 (1.66, 9.07)
Z4a5	4.08  (1.45 , 6.77 )	4.48 (1.24, 7.80)
Z4a6	5.75  (0.82 , 10.83 )	5.37 (0.40, 10.50)
Z4a6a	2.59  (0.00 , 5.57 )	2.20 (0.00, 6.91)
Z4a7	3.46  (0.07 , 6.92 )	4.33 (0.00, 13.80)
Z4a8	5.22  (0.00 , 10.79 )	5.16 (0.00, 15.34)
Z4a9	1.93  (0.00 , 4.16 )	3.34 (0.00, 9.14)
Z4a10	7.29  (2.50 , 12.22 )	6.11 (2.23, 10.09)
Z4a10a	4.46  (1.72 , 7.25 )	4.33 (0.98, 7.74)
Z4a11	2.59  (0.00 , 5.57 )	2.82 (0.00, 9.13)
Z4a12	4.33  (0.53 , 8.24 )	5.06 (0.00, 10.39)
Z4a13	4.33  (0.00 , 8.96 )	4.95 (0.00, 22.21)
Z5	11.16  (6.77 , 15.65 )	12.85 (4.54, 21.54)
Z5a	7.89  (1.21 , 14.85 )	7.38 (0.00, 16.70)
Z5b	8.79  (4.17 , 13.54 )	12.63 (0.00, 28.60)
Z7	13.37  (5.06 , 22.07 )	13.51 (6.31, 20.99)
Z7a	9.83  (2.36 , 17.63 )	9.90 (2.85, 17.25)
Z7a1	6.10  (1.56 , 10.78 )	6.69 (1.68, 11.86)
Z7a1a	1.29  (0.00 , 3.09 )	2.15 (0.00, 5.72)
Z7a1b	7.89  (1.54 , 14.49 )	5.37 (0.70, 10.18)
Z8	3.24  (0.00 , 6.67 )	3.28 (0.00, 15.85)
C	27.46  (20.11 , 35.03 )	26.64 (18.52, 35.04)
C1	19.01  (7.08 , 31.66 )	22.18 (9.72, 35.36)
C1a	10.61  (3.52 , 18.00 )	8.40 (0.00, 21.44)
C1a1	8.88  (3.23 , 14.71 )	6.64 (0.00, 18.78)
C1a1a	7.59  (3.26 , 12.04 )	5.37 (1.10, 9.76)
C1a1a1	5.22  (0.39 , 10.19 )	3.86 (0.00, 7.89)
C1a1a2	4.33  (0.00 , 9.59 )	2.25 (0.00, 8.33)
C4	22.06  (15.24 , 29.09 )	20.69 (12.03, 29.70)
C4a'b'c	22.18  (15.08 , 29.52 )	20.69 (12.36, 29.35)
C4a	23.35  (15.66 , 31.30 )	19.61 (11.53, 28.00)
C4a1	17.35  (8.73 , 26.34 )	15.89 (8.70, 23.35)
C4a1a	12.16  (6.99 , 17.48 )	12.90 (6.14, 19.91)
C4a1a1	12.61  (5.80 , 19.68 )	10.72 (4.25, 17.43)
C4a1a1a	7.51  (2.93 , 12.21 )	6.22 (0.62, 12.01)
C4a1a2	10.55  (7.11 , 14.06 )	10.50 (7.76, 13.28)
C4a1a2a	4.77  (1.63 , 7.98 )	6.80 (1.99, 11.76)
C4a1a2a1	2.15  (0.00 , 4.42 )	3.39 (0.00, 8.35)
C4a1a2b	8.70  (2.39 , 15.26 )	8.61 (3.95, 13.41)
C4a1a2b1	3.57  (1.27 , 5.90 )	3.70 (0.67, 6.79)
C4a1a2c	9.02  (3.19 , 15.05 )	8.56 (5.02, 12.17)
C4a1a2c1	4.89  (0.99 , 8.88 )	5.58 (2.32, 8.92)
C4a1a2d	1.72  (0.00 , 4.13 )	1.43 (0.00, 3.86)
C4a1a3	4.42  (2.45 , 6.41 )	6.53 (3.14, 10.00)
C4a1a3a	4.06  (1.18 , 6.99 )	4.85 (1.60, 8.17)
C4a1a3a1	3.46  (0.28 , 6.70 )	3.65 (0.32, 7.05)
C4a1a3a1a	1.72  (0.00 , 4.13 )	2.15 (0.00, 5.51)
C4a1a3b	5.88  (1.24 , 10.66 )	5.27 (0.00, 11.67)
C4a1a3c	3.24  (0.00 , 7.19 )	2.15 (0.00, 5.00)
C4a1a3c1	2.59  (0.00 , 7.23 )	1.17 (0.00, 2.78)
C4a1a3c1a	0.32  (0.00 , 0.95 )	0.46 (0.00, 1.36)
C4a1a3d	1.40  (0.00 , 3.14 )	2.30 (0.00, 7.33)
C4a1a3e	2.59  (0.00 , 6.86 )	2.10 (0.00, 5.56)
C4a1a3f	1.72  (0.00 , 4.13 )	2.51 (0.00, 7.86)
C4a1a3g	2.59  (0.00 , 6.44 )	3.96 (0.00, 10.00)
C4a1a4	7.38  (3.49 , 11.37 )	6.64 (1.93, 11.49)
C4a1a4a	4.29  (2.10 , 6.51 )	4.59 (1.64, 7.59)
C4a1a4a1	1.72  (0.03 , 3.42 )	2.61 (0.00, 5.37)
C4a1a4a2	4.33  (0.00 , 8.96 )	3.23 (0.00, 6.94)
C4a1a4b	4.73  (2.09 , 7.42 )	4.48 (0.54, 8.53)
C4a1a4c	2.59  (0.00 , 6.44 )	2.66 (0.00, 11.30)
C4a1a7	9.25  (2.34 , 16.43 )	8.99 (4.31, 13.79)
C4a1a8	2.59  (0.00 , 5.57 )	3.70 (0.00, 9.41)
C4a1a9	6.46  (2.48 , 10.54 )	8.13 (2.77, 13.67)
C4a1a9a	4.33  (0.88 , 7.87 )	5.48 (0.61, 10.50)
C4a1a9a1	2.06  (0.00 , 4.58 )	2.20 (0.00, 7.85)
C4a1a9b	3.90  (0.00 , 8.42 )	4.69 (0.00, 10.22)
C4a1a10	12.82  (5.75 , 20.16 )	8.72 (3.95, 13.63)
C4a1a10a	12.45  (4.16 , 21.11 )	7.17 (2.14, 12.36)
C4a1a11	4.33  (0.00 , 8.96 )	4.38 (0.00, 9.37)
C4a1a12	6.43  (0.61 , 12.46 )	5.69 (0.00, 14.70)
C4a1a12a	1.93  (0.38 , 3.50 )	3.28 (0.00, 6.78)
C4a1a5'6	8.47  (4.26 , 12.79 )	9.47 (3.66, 15.49)
C4a1a5	4.55  (0.72 , 8.49 )	4.27 (0.00, 9.26)
C4a1a6	2.59  (0.32 , 4.89 )	4.17 (0.00, 9.79)
C4a1a13	5.66  (2.33 , 9.06 )	7.65 (0.00, 16.76)
C4a1a14	7.89  (1.66 , 14.36 )	9.74 (1.69, 18.18)
C4a1b'c	9.35  (4.74 , 14.09 )	9.74 (3.61, 16.09)
C4a1b	7.89  (3.47 , 12.43 )	8.02 (2.57, 13.67)
C4a1c	6.55  (0.79 , 12.51 )	5.01 (0.00, 11.19)
C4a1d	4.55  (0.72 , 8.49 )	5.58 (0.00, 14.92)
C4a2	20.74  (13.59 , 28.13 )	18.13 (11.40, 25.10)
C4a2a	8.00  (2.33 , 13.86 )	8.94 (3.75, 14.28)
C4a2a1	5.35  (2.84 , 7.90 )	6.75 (2.74, 10.85)
C4a2a1a	0.73  (0.00 , 1.62 )	3.08 (0.00, 7.51)
C4a2a1b	3.63  (0.00 , 9.02 )	2.15 (0.00, 5.00)
C4a2a1c	3.27  (1.54 , 5.02 )	5.53 (2.77, 8.34)
C4a2a1c1	8.79  (1.86 , 16.02 )	4.59 (1.74, 7.48)
C4a2a1c2	3.90  (0.00 , 8.42 )	2.77 (0.00, 6.87)
C4a2a1d	2.06  (0.00 , 4.58 )	2.04 (0.00, 4.79)
C4a2b	18.23  (6.63 , 30.51 )	11.26 (6.11, 16.56)
C4a2b1	5.22  (1.03 , 9.52 )	5.01 (0.65, 9.49)
C4a2b2	8.68  (1.09 , 16.62 )	7.60 (3.06, 12.26)
C4a2b2a	0.62  (0.11 , 1.13 )	2.56 (0.00, 5.63)
C4a2c'd'e	18.14  (10.98 , 25.56 )	16.45 (6.62, 26.78)
C4a2c	15.23  (7.77 , 23.00 )	14.11 (4.11, 24.67)
C4a2c1	12.58  (7.17 , 18.15 )	12.08 (4.84, 19.62)
C4a2c1a	7.39  (2.81 , 12.10 )	7.17 (2.35, 12.14)
C4a2c1a1	2.30  (0.35 , 4.27 )	3.44 (0.00, 7.67)
C4a2c1b	5.22  (0.94 , 9.61 )	6.38 (0.00, 16.30)
C4a2c1b1	2.59  (0.00 , 6.68 )	2.61 (0.00, 11.24)
C4a2c1c	3.90  (0.77 , 7.09 )	4.53 (0.00, 10.80)
C4a2c1d	5.22  (0.39 , 10.19 )	5.58 (0.00, 13.18)
C4a2d	15.37  (7.01 , 24.09 )	10.83 (0.00, 25.97)
C4a2d1	10.15  (5.41 , 15.03 )	9.26 (2.44, 16.36)
C4a2e	10.15  (4.40 , 16.10 )	10.07 (3.01, 17.42)
C4a2e1	7.89  (2.69 , 13.26 )	8.02 (1.46, 14.86)
C4a2e2	3.90  (0.00 , 8.42 )	4.22 (0.00, 12.19)
C4a2f	6.55  (3.30 , 9.87 )	6.80 (3.20, 10.48)
C4a2f1	4.46  (1.92 , 7.04 )	4.64 (1.19, 8.17)
C4b	8.04  (4.86 , 11.29 )	7.70 (4.49, 10.98)
C4b1	3.48  (1.85 , 5.13 )	4.33 (2.19, 6.49)
C4b1a	3.17  (0.70 , 5.67 )	3.02 (0.41, 5.69)
C4b1b	0.86  (0.00 , 2.05 )	1.79 (0.00, 7.74)
C4b1c	4.33  (0.53 , 8.24 )	3.18 (0.76, 5.64)
C4b1d	1.29  (0.00 , 3.39 )	2.20 (0.00, 6.91)
C4b1e	2.59  (0.00 , 5.57 )	2.40 (0.00, 5.98)
C4b2	4.33  (0.00 , 8.81 )	5.01 (0.00, 10.97)
C4b2a	1.29  (0.00 , 3.19 )	1.94 (0.00, 6.65)
C4b3	7.71  (3.93 , 11.58 )	6.38 (3.19, 9.62)
C4b3a	5.88  (2.38 , 9.47 )	4.74 (1.29, 8.27)
C4b3a1	3.63  (0.00 , 7.67 )	2.87 (0.00, 9.81)
C4b3b	6.55  (0.00 , 13.63 )	3.49 (0.00, 9.93)
C4b6	4.04  (0.20 , 7.98 )	5.16 (1.60, 8.81)
C4b8	6.10  (0.43 , 11.99 )	5.37 (1.20, 9.65)
C4b8a	2.59  (0.00 , 6.24 )	2.10 (0.00, 5.56)
C4b9	4.69  (0.99 , 8.47 )	4.74 (1.39, 8.17)
C4c	12.54  (6.89 , 18.37 )	14.67 (7.63, 21.97)
C4c1	8.57  (4.91 , 12.30 )	10.39 (4.65, 16.33)
C4c1a	1.29  (0.00 , 3.09 )	3.13 (0.00, 8.71)
C4c1b	1.29  (0.00 , 3.84 )	2.10 (0.00, 8.80)
C4c2	0.86  (0.00 , 2.55 )	1.12 (0.00, 3.55)
C4d'e'f	17.77  (9.96 , 25.90 )	17.80 (8.74, 27.27)
C4d	13.89  (6.66 , 21.41 )	13.67 (5.33, 22.40)
C4d1	10.61  (4.67 , 16.75 )	10.77 (2.26, 19.70)
C4d1a	8.57  (4.22 , 13.02 )	8.99 (2.08, 16.19)
C4d1a1	4.46  (1.36 , 7.63 )	5.43 (0.36, 10.66)
C4d1a2	3.90  (0.00 , 8.42 )	2.92 (0.00, 9.34)
C4d1a3	2.59  (0.00 , 6.24 )	2.92 (0.00, 7.45)
C4d2	3.90  (0.00 , 8.42 )	3.49 (0.00, 9.40)
C4e	2.59  (0.00 , 6.24 )	3.49 (0.00, 9.51)
C4f	9.52  (2.90 , 16.40 )	11.21 (1.57, 21.39)
C4f1	5.88  (0.29 , 11.67 )	6.16 (0.00, 32.54)
C4g	4.33  (0.53 , 8.24 )	5.48 (0.00, 11.68)
C4h	4.33  (0.00 , 8.96 )	5.69 (0.00, 14.05)
C4i	9.25  (2.34 , 16.43 )	11.97 (1.78, 22.76)
C5	19.13  (12.50 , 25.96 )	20.86 (7.44, 35.16)
C5a'c'd'e	17.51  (11.20 , 24.02 )	18.81 (11.94, 25.91)
C5a	10.70  (4.74 , 16.87 )	11.97 (4.94, 19.28)
C5a1	4.87  (1.98 , 7.81 )	5.85 (2.37, 9.40)
C5a1a	3.17  (1.29 , 5.07 )	4.43 (1.29, 7.64)
C5a1b	1.72  (0.00 , 4.13 )	2.04 (0.00, 5.62)
C5a1c	0.64  (0.00 , 1.91 )	1.22 (0.00, 3.96)
C5a2	5.99  (1.65 , 10.45 )	7.60 (0.65, 14.85)
C5a2a	1.29  (0.00 , 3.19 )	2.25 (0.00, 6.86)
C5a2b	3.66  (1.08 , 6.29 )	4.38 (0.63, 8.21)
C5a2b1	2.06  (0.04 , 4.12 )	2.51 (0.00, 5.47)
C5c	10.22  (3.34 , 17.37 )	9.26 (3.25, 15.48)
C5c1	8.74  (1.57 , 16.22 )	7.76 (3.12, 12.53)
C5c1a	5.93  (0.43 , 11.61 )	5.74 (0.76, 10.88)
C5c1a1	3.71  (0.84 , 6.63 )	4.38 (0.00, 8.95)
C5c1a1a	2.21  (0.44 , 4.01 )	3.18 (0.00, 6.99)
C5d	12.22  (6.50 , 18.11 )	16.23 (9.66, 23.01)
C5d1	3.36  (0.00 , 7.48 )	4.53 (1.49, 7.64)
C5d1a	0.73  (0.06 , 1.42 )	2.71 (0.00, 5.47)
C5d2	12.91  (7.51 , 18.46 )	12.24 (5.82, 18.90)
C5d2a	9.70  (3.05 , 16.61 )	7.70 (1.45, 14.20)
C5d2b	8.79  (2.30 , 15.55 )	9.42 (0.08, 19.29)
C5d3	6.40  (2.03 , 10.89 )	8.29 (2.93, 13.83)
C5d3a	3.90  (0.77 , 7.09 )	4.69 (0.24, 9.27)
C5e	3.90  (0.00 , 8.42 )	4.22 (0.00, 12.83)
C5b	15.54  (7.10 , 24.35 )	20.86 (1.79, 41.75)
C5b1	12.66  (5.97 , 19.59 )	15.00 (7.74, 22.54)
C5b1a	4.98  (0.49 , 9.59 )	8.35 (1.97, 14.97)
C5b1a1	1.43  (0.18 , 2.70 )	2.56 (0.00, 5.73)
C5b1b	3.58  (0.00 , 7.42 )	3.18 (0.36, 6.05)
C5b1b1	2.59  (0.00 , 6.54 )	2.04 (0.00, 4.59)
C5b1b1a	0.57  (0.00 , 1.37 )	1.12 (0.00, 3.44)
C5b1c	3.90  (0.00 , 8.42 )	4.59 (0.00, 19.02)
C5b1d	6.10  (1.56 , 10.78 )	8.45 (1.67, 15.52)
C5f	10.61  (3.18 , 18.36 )	10.99 (0.00, 24.09)
C7	18.68  (12.40 , 25.17 )	21.14 (14.09, 28.43)
C7a	14.82  (8.86 , 20.97 )	11.04 (8.61, 13.51)
C7a1	10.93  (7.04 , 14.89 )	10.07 (7.96, 12.20)
C7a1a	14.30  (6.91 , 21.98 )	9.15 (3.76, 14.72)
C7a1a1	12.87  (5.17 , 20.89 )	8.18 (2.82, 13.72)
C7a1a1a	2.06  (0.04 , 4.12 )	2.51 (0.00, 5.99)
C7a1a1b	5.22  (0.00 , 11.59 )	4.48 (0.00, 10.01)
C7a1a2	2.59  (0.05 , 5.16 )	2.61 (0.00, 5.89)
C7a1c	4.60  (3.52 , 5.69 )	5.64 (4.10, 7.19)
C7a1c1	1.29  (0.00 , 2.85 )	2.51 (0.00, 5.37)
C7a1c2	3.17  (1.12 , 5.24 )	4.22 (1.48, 7.01)
C7a1c3	4.16  (1.87 , 6.49 )	4.06 (0.83, 7.37)
C7a1c4	7.89  (3.85 , 12.04 )	4.90 (3.06, 6.76)
C7a1c5	3.46  (0.00 , 7.71 )	3.28 (0.00, 6.68)
C7a1c6	3.46  (0.00 , 7.71 )	3.28 (0.00, 7.51)
C7a1c7	3.24  (0.00 , 7.14 )	2.77 (0.00, 6.35)
C7a1c8	1.72  (0.00 , 4.13 )	1.99 (0.00, 5.77)
C7a1e	5.55  (1.61 , 9.59 )	5.58 (2.62, 8.60)
C7a1e1	3.30  (1.56 , 5.06 )	4.12 (1.38, 6.90)
C7a1e2	1.72  (0.00 , 4.13 )	2.77 (0.00, 6.25)
C7a1f	3.46  (0.07 , 6.92 )	3.13 (0.00, 7.04)
C7a1g	8.49  (3.53 , 13.60 )	7.97 (3.12, 12.96)
C7a1g1	7.89  (3.59 , 12.31 )	6.27 (2.08, 10.57)
