edge_id	parent_node	child_node	parent_label	child_label	child_is_tip	n_descendant_tip	descendant_tip_representative	edge_length_analysis	edge_length_input_units	edge_was_floored	branch_scale_factor
221	318	321	Node318	Node321	FALSE	5	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b;GSRD008212A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
222	321	109	Node321	GSRD020327A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD020327A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
223	321	322	Node321	Node322	FALSE	4	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b;GSRD008212A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
224	322	323	Node322	Node323	FALSE	3	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b;GSRD008212A00_BB1_01_D1a1a1a1b	1.33676537388332	6e-05	FALSE	4.48844660194175e-05
225	323	324	Node323	Node324	FALSE	2	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
226	324	110	Node324	GSRD008111A00_BB0_01_D1a1a1a1b	TRUE	1	GSRD008111A00_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
227	324	111	Node324	GSRD008111A01_BB0_01_D1a1a1a1b	TRUE	1	GSRD008111A01_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
228	323	112	Node323	GSRD008212A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD008212A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
229	322	113	Node322	GSRD020372A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD020372A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
230	310	325	Node310	Node325	FALSE	33	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.913456338820272	4.1e-05	FALSE	4.48844660194175e-05
231	325	114	Node325	WDC11806290102_D1a1a1a1b	TRUE	1	WDC11806290102_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
232	325	326	Node325	Node326	FALSE	32	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.712941532737773	3.2e-05	FALSE	4.48844660194175e-05
233	326	327	Node326	Node327	FALSE	18	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b;GSRD005692A00_BB1_01_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
234	327	328	Node327	Node328	FALSE	10	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b;GSRD005859A01_BB0_01_D1a1a1a1b	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
235	328	329	Node328	Node329	FALSE	7	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b;GSRD005859A01_BB0_01_D1a1a1a1b	0.646103264043607	2.9e-05	FALSE	4.48844660194175e-05
236	329	330	Node329	Node330	FALSE	4	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b;GSRD005859A01_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
237	330	115	Node330	GSRD005859A01_BB0_01_D1a1a1a1b	TRUE	1	GSRD005859A01_BB0_01_D1a1a1a1b	1.78235383184443	8e-05	FALSE	4.48844660194175e-05
238	330	331	Node330	Node331	FALSE	3	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b;GSRD009852A00_BB0_00_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
239	331	116	Node331	GSRD009852A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009852A00_BB0_00_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
240	331	332	Node331	Node332	FALSE	2	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
241	332	117	Node332	Chuan10231A03_BB0_01_D1a1a1a1b	TRUE	1	Chuan10231A03_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
242	332	118	Node332	GSRD005407A00_BB0_01_D1a1a1a1b	TRUE	1	GSRD005407A00_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
243	329	333	Node329	Node333	FALSE	3	GSRD008103A00_BB0_01_D1a1a1a1b;GSRD008103A01_BB0_01_D1a1a1a1b;GSRD009788A00_BB0_00_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
244	333	119	Node333	GSRD009788A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009788A00_BB0_00_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
245	333	334	Node333	Node334	FALSE	2	GSRD008103A00_BB0_01_D1a1a1a1b;GSRD008103A01_BB0_01_D1a1a1a1b	0.646103264043607	2.9e-05	FALSE	4.48844660194175e-05
246	334	120	Node334	GSRD008103A01_BB0_01_D1a1a1a1b	TRUE	1	GSRD008103A01_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
247	334	121	Node334	GSRD008103A00_BB0_01_D1a1a1a1b	TRUE	1	GSRD008103A00_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
248	328	335	Node328	Node335	FALSE	3	GSRD008393A00_BB1_01_D1a1a1a1b;GSRD008393A01_BB1_01_D1a1a1a1b;WDC11806290177_D1a1a1a1b	1.42588306547555	6.4e-05	FALSE	4.48844660194175e-05
249	335	336	Node335	Node336	FALSE	2	GSRD008393A00_BB1_01_D1a1a1a1b;GSRD008393A01_BB1_01_D1a1a1a1b	0.356470766368887	1.6e-05	FALSE	4.48844660194175e-05
250	336	122	Node336	GSRD008393A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008393A01_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
251	336	123	Node336	GSRD008393A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD008393A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
252	335	124	Node335	WDC11806290177_D1a1a1a1b	TRUE	1	WDC11806290177_D1a1a1a1b	0.668382686941662	3e-05	FALSE	4.48844660194175e-05
253	327	337	Node327	Node337	FALSE	8	GSRD005692A00_BB1_01_D1a1a1a1b;GSRD008205A01_BB1_01_D1a1a1a1b;GSRD009785A00_BB0_00_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
254	337	338	Node337	Node338	FALSE	4	GSRD008205A01_BB1_01_D1a1a1a1b;GSRD009785A00_BB0_00_D1a1a1a1b;GSRD009843A00_BB0_00_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
255	338	125	Node338	GSRD500223A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD500223A00_BB0_00_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
256	338	339	Node338	Node339	FALSE	3	GSRD008205A01_BB1_01_D1a1a1a1b;GSRD009785A00_BB0_00_D1a1a1a1b;GSRD009843A00_BB0_00_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
257	339	126	Node339	GSRD009843A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009843A00_BB0_00_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
258	339	340	Node339	Node340	FALSE	2	GSRD008205A01_BB1_01_D1a1a1a1b;GSRD009785A00_BB0_00_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
259	340	127	Node340	GSRD008205A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008205A01_BB1_01_D1a1a1a1b	0.980294607514438	4.4e-05	FALSE	4.48844660194175e-05
260	340	128	Node340	GSRD009785A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009785A00_BB0_00_D1a1a1a1b	0.980294607514438	4.4e-05	FALSE	4.48844660194175e-05
261	337	341	Node337	Node341	FALSE	4	GSRD005692A00_BB1_01_D1a1a1a1b;GSRD009816A00_BB0_00_D1a1a1a1b;GSRD009831A00_BB0_00_D1a1a1a1b	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
262	341	342	Node341	Node342	FALSE	3	GSRD005692A00_BB1_01_D1a1a1a1b;GSRD009816A00_BB0_00_D1a1a1a1b;HGDP01183_D1a1a1a1b	0.178235383184443	8e-06	FALSE	4.48844660194175e-05
263	342	343	Node342	Node343	FALSE	2	GSRD005692A00_BB1_01_D1a1a1a1b;HGDP01183_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
264	343	129	Node343	HGDP01183_D1a1a1a1b	TRUE	1	HGDP01183_D1a1a1a1b	1.29220652808721	5.8e-05	FALSE	4.48844660194175e-05
265	343	130	Node343	GSRD005692A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD005692A00_BB1_01_D1a1a1a1b	0.82433864722805	3.7e-05	FALSE	4.48844660194175e-05
266	342	131	Node342	GSRD009816A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009816A00_BB0_00_D1a1a1a1b	0.980294607514438	4.4e-05	FALSE	4.48844660194175e-05
267	341	132	Node341	GSRD009831A00_BB0_00_D1a1a1a1b	TRUE	1	GSRD009831A00_BB0_00_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
268	326	344	Node326	Node344	FALSE	14	GSRD002335A00_BB1_01_D1a1a1a1b;GSRD008109A00_BB0_01_D1a1a1a1b;GSRD008109A01_BB0_01_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
