simulation_id	event_id	edge_id	parent_node	child_node	parent_label	child_label	event_order_on_edge	from_state	to_state	edge_length_analysis	distance_from_parent_analysis	distance_to_child_analysis	relative_position_from_parent	edge_length_input_units	distance_from_parent_input_units	distance_to_child_input_units	n_descendant_tip	descendant_tip_representative	edge_was_floored
2	sim0002_edge0038_event01	38	228	18	Node228	GSRD009825A00_BB0_00_D1a1a1a1a1b2	1	Plateau	SouthWest	2.4507365187861	2.30544548068431	0.145291038101782	0.940715357612679	0.00011	0.000103478689337395	6.52131066260532e-06	1	GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
2	sim0002_edge0039_event01	39	228	19	Node228	Chuan10108A00_BB0_00_D1a1a1a1a1b2	1	Plateau	SouthWest	2.29478055849971	0.412142359822827	1.88263819867688	0.179599900433303	0.000103	1.84987897446302e-05	8.45012102553698e-05	1	Chuan10108A00_BB0_00_D1a1a1a1a1b2	FALSE
2	sim0002_edge0040_event01	40	219	229	Node219	Node229	1	GansuQinghai	Plateau	2.60669247907248	0.116417953336168	2.49027452573632	0.0446611766715159	0.000117	5.22535767056736e-06	0.000111774642329433	70	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD007997A00_BB1_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0042_event01	42	230	231	Node230	Node231	1	Plateau	SouthWest	0.646103264043607	0.290376817533135	0.355726446510472	0.449427875841124	2.9e-05	1.30334083993926e-05	1.59665916006074e-05	4	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD008106A00_BB0_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0052_event01	52	236	237	Node236	Node237	1	Plateau	SouthWest	5.70353226190219	4.64112045740678	1.06241180449541	0.813727396337882	0.000256	0.000208314213462498	4.76857865375021e-05	2	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0056_event01	56	235	238	Node235	Node238	1	Plateau	SouthWest	4.05485496744609	1.16315467887947	2.89170028856662	0.286854816810395	0.000182	5.2207576659492e-05	0.000129792423340508	2	GSRD009863A00_BB0_00_D1a1a1a1a1b1;WDC11806290166_D1a1a1a1a1b1	FALSE
2	sim0002_edge0059_event01	59	234	29	Node234	WDC11806290089_D1a1a1a1a1b	1	Plateau	SouthWest	0.490147303757219	0.125127098840541	0.365020204916678	0.255284682546208	2.2e-05	5.61626301601658e-06	1.63837369839834e-05	1	WDC11806290089_D1a1a1a1a1b	FALSE
2	sim0002_edge0065_event01	65	242	31	Node242	GSRD009551A00_BB0_01_D1a1a1a1a1b1	1	Plateau	YellowRiver	4.07713439034414	2.54512795071076	1.53200643963338	0.624244311577851	0.000183	0.000114236709018747	6.87632909812532e-05	1	GSRD009551A00_BB0_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0079_event01	79	240	39	Node240	GSRD008312A01_BB1_01_D1a1a1a1a1b1	1	Plateau	SouthWest	1.96058921502888	0.456480150366156	1.50410906466272	0.232828043155094	8.8e-05	2.04888677976483e-05	6.75111322023517e-05	1	GSRD008312A01_BB1_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0083_event01	83	251	252	Node251	Node252	1	Plateau	SouthWest	3.8988990071597	3.49835136777039	0.400547639389305	0.897266474803845	0.000175	0.000157021633090673	1.79783669093271e-05	2	GSRD008140A00_BB1_02_D1a1a1a1a1b1;GSRD008140A01_BB1_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0092_event01	92	255	256	Node255	Node256	1	Plateau	SouthWest	2.60669247907248	1.47747724954354	1.12921522952895	0.566801516252986	0.000117	6.63157774015993e-05	5.06842225984007e-05	7	GSRD008144A00_BB1_01_D1a1a1a1a1b1;GSRD008144A01_BB1_01_D1a1a1a1a1b1;GSRD008247A00_BB1_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0105_event01	105	255	262	Node255	Node262	1	Plateau	SouthWest	3.40875170340248	0.646061654413523	2.76269004898896	0.189530276954068	0.000153	2.89981323739724e-05	0.000124001867626028	2	GSRD008303A00_BB1_01_D1a1a1a1a1b1;GSRD008303A01_BB1_01_D1a1a1a1a1b1	FALSE
